show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,year_added,month_added,primary_genre,primary_country,content_age_at_add,duration_minutes,seasons
s16,TV Show,The Journey,Not Given,"John Ahmed, Maria Brown, Wei Garcia",Australia,2017-08-21,2002,TV-Y,1 Seasons,"Romantic Movies, Horror Movies, Sci-Fi & Fantasy",A story about love set in Australia.,2017,August,Romantic Movies,Australia,15,,1.0
s17,Movie,Broken Horizon,Not Given,"Tom Muller, Fatima Patel, Grace Silva, Fatima Muller",South Korea,2018-05-13,2004,TV-Y7,110 min,Dramas,A story about friendship set in South Korea.,2018,May,Dramas,South Korea,14,110.0,
s18,Movie,Endless Shadow,Alicia Wren,"Yusuf Muller, Wei Lee, Aiko Lee",India,2019-02-22,2007,PG-13,90 min,"Horror Movies, Docuseries",A story about love set in India.,2019,February,Horror Movies,India,12,90.0,
s19,Movie,Rising Dream,Alicia Wren,"Liam Garcia, Tom Garcia, Grace Ahmed",United Kingdom,2018-02-28,2008,G,96 min,"Anime, Action & Adventure, Docuseries",A story about family set in United Kingdom.,2018,February,Anime,United Kingdom,10,96.0,
s20,Movie,Midnight Journey,Alicia Wren,"Sara Muller, John Smith, Aiko Kowalski, Wei Patel, Liam Chen",Mexico,2021-03-09,2014,TV-Y,141 min,Action & Adventure,A story about betrayal set in Mexico.,2021,March,Action & Adventure,Mexico,7,141.0,
s21,TV Show,Last Code (Season 3),Not Given,"Carlos Chen, John Muller, Aiko Lee",Italy,2019-01-05,2001,R,6 Season,Sports Movies,A story about identity set in Italy.,2019,January,Sports Movies,Italy,18,,6.0
s22,TV Show,Last Legacy,Not Given,"Tom Kim, John Chen, Grace Lee",Japan,2017-10-13,2013,PG-13,2 Seasons,Stand-Up Comedy,A story about love set in Japan.,2017,October,Stand-Up Comedy,Japan,4,,2.0
s23,TV Show,Secret Legacy,Not Given,"Aiko Muller, Sara Kowalski, Sara Khan, Fatima Smith, Raj Khan",South Korea,2018-02-15,2010,TV-14,7 Season,"Stand-Up Comedy, Anime, Reality TV",A story about war set in South Korea.,2018,February,Stand-Up Comedy,South Korea,8,,7.0
s24,TV Show,A Dream (Season 3),Not Given,"Maria Dubois, Carlos Silva",Mexico,2019-11-23,2010,G,5 Season,"Kids TV, International Movies, Dramas",A story about identity set in Mexico.,2019,November,Kids TV,Mexico,9,,5.0
s25,Movie,Rising Legacy,Emily Carter,"Maria Patel, Tom Silva, Elena Silva, Raj Brown, Maria Novak",Italy,2020-09-08,2009,PG-13,155 min,"Anime, Kids TV",A story about family set in Italy.,2020,September,Anime,Italy,11,155.0,
s26,Movie,Secret City,David Okafor,"Elena Dubois, Liam Kim, Yusuf Brown",United States,2018-03-21,2009,R,125 min,"Anime, Romantic Movies, Sci-Fi & Fantasy",A story about friendship set in United States.,2018,March,Anime,United States,9,125.0,
s27,Movie,Rising Heart,Marcus Lee,"Liam Ahmed, Raj Patel",Australia,2016-01-18,2010,R,156 min,"Romantic Movies, Stand-Up Comedy",A story about ambition set in Australia.,2016,January,Romantic Movies,Australia,6,156.0,
s29,TV Show,A City,Not Given,"John Ahmed, Fatima Lee, Sara Garcia, Nina Chen, Omar Rossi",Brazil,2019-07-23,2016,TV-Y7,5 Seasons,"Reality TV, Docuseries, Crime TV Shows",A story about friendship set in Brazil.,2019,July,Reality TV,Brazil,3,,5.0
s30,TV Show,Silent Heart,Not Given,"Sara Patel, Liam Kowalski, Omar Ahmed",Spain,2020-09-01,2020,PG-13,4 Season,"Romantic Movies, International Movies",A story about war set in Spain.,2020,September,Romantic Movies,Spain,0,,4.0
s31,Movie,Rising Shadow,Marcus Lee,"Fatima Kim, Grace Chen, Grace Khan",India,2019-07-28,2013,PG,139 min,"Reality TV, Dramas",A story about ambition set in India.,2019,July,Reality TV,India,6,139.0,
s32,TV Show,Broken Horizon,Not Given,"Sara Lee, Omar Dubois",South Korea,2015-01-25,2015,PG,3 Seasons,"Romantic Movies, Docuseries",A story about ambition set in South Korea.,2015,January,Romantic Movies,South Korea,0,,3.0
s33,Movie,Silent Journey,David Okafor,"Raj Patel, Omar Kim, Grace Chen, Sara Rossi",Italy,2020-12-27,2004,TV-MA,120 min,"Dramas, Comedies, Anime",A story about identity set in Italy.,2020,December,Dramas,Italy,16,120.0,
s34,Movie,Silent Kingdom,Rajiv Menon,"Carlos Silva, Fatima Rossi, Aiko Silva, Omar Lee",South Korea,2019-09-23,2008,PG-13,176 min,Docuseries,A story about love set in South Korea.,2019,September,Docuseries,South Korea,11,176.0,
s35,TV Show,The Storm,Not Given,"Omar Patel, John Kowalski",United States,2017-03-27,2007,TV-MA,5 Season,Docuseries,A story about betrayal set in United States.,2017,March,Docuseries,United States,10,,5.0
s36,Movie,Secret Heart,Kenji Watanabe,"Wei Dubois, Elena Novak, Grace Garcia, Omar Brown",United Kingdom,2016-03-18,2009,G,73 min,"Stand-Up Comedy, Kids TV",A story about ambition set in United Kingdom.,2016,March,Stand-Up Comedy,United Kingdom,7,73.0,
s37,Movie,Secret Shadow,Kenji Watanabe,"Omar Dubois, Omar Smith",Japan,2019-05-28,2017,PG,78 min,"Anime, Dramas, Reality TV",A story about identity set in Japan.,2019,May,Anime,Japan,2,78.0,
s38,TV Show,A City,Not Given,"Grace Chen, Carlos Chen, Grace Ahmed, Raj Muller, Elena Kowalski",Italy,2021-05-06,2017,TV-Y7,4 Season,"Crime TV Shows, Thrillers, Reality TV",A story about ambition set in Italy.,2021,May,Crime TV Shows,Italy,4,,4.0
s39,TV Show,A Dream,Not Given,"Omar Rossi, Elena Dubois, Raj Kim",Japan,2020-07-17,2000,PG,2 Season,"Crime TV Shows, Thrillers",A story about family set in Japan.,2020,July,Crime TV Shows,Japan,20,,2.0
s40,TV Show,Midnight Code (Season 2),Not Given,"Fatima Novak, Carlos Rossi",Germany,2020-05-04,2007,TV-Y7,4 Seasons,Horror Movies,A story about ambition set in Germany.,2020,May,Horror Movies,Germany,13,,4.0
s41,Movie,Secret Dream,Not Given,"Nina Ahmed, Yusuf Silva, Carlos Novak, Yusuf Silva",Japan,2018-01-14,2014,PG-13,102 min,Action & Adventure,A story about ambition set in Japan.,2018,January,Action & Adventure,Japan,4,102.0,
s42,Movie,Rising Kingdom,Sofia Alvarez,"Grace Rossi, Liam Novak, Elena Kowalski",Germany,2019-10-17,2019,TV-14,176 min,Horror Movies,A story about ambition set in Germany.,2019,October,Horror Movies,Germany,0,176.0,
s43,Movie,Midnight Journey,Hugo Fischer,"Liam Smith, John Ahmed, Liam Novak",United Kingdom,2021-05-17,2020,TV-14,71 min,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy",A story about friendship set in United Kingdom.,2021,May,Horror Movies,United Kingdom,1,71.0,
s44,Movie,The Dream,Priya Sharma,"Sara Garcia, Carlos Rossi",India,2021-07-13,2018,TV-MA,89 min,Horror Movies,A story about betrayal set in India.,2021,July,Horror Movies,India,3,89.0,
s45,TV Show,A Code,Not Given,"Omar Ahmed, Carlos Rossi, Tom Rossi",France,2020-05-28,2018,PG-13,5 Seasons,"Action & Adventure, Stand-Up Comedy, Docuseries",A story about ambition set in France.,2020,May,Action & Adventure,France,2,,5.0
s46,Movie,A Kingdom,Sofia Alvarez,"Yusuf Garcia, Wei Smith, Carlos Rossi",Mexico,2020-04-26,2019,PG-13,74 min,Horror Movies,A story about family set in Mexico.,2020,April,Horror Movies,Mexico,1,74.0,
s47,TV Show,Silent Shadow,Not Given,"Omar Kowalski, Raj Dubois, Raj Kowalski, Tom Khan",South Korea,2021-02-08,2003,R,6 Season,"International Movies, Comedies",A story about love set in South Korea.,2021,February,International Movies,South Korea,18,,6.0
s48,Movie,Midnight Horizon,Not Given,"Nina Garcia, Nina Novak, Liam Novak, Carlos Muller",Germany,2019-10-09,2017,TV-Y7,80 min,"Comedies, Sci-Fi & Fantasy, Kids TV",A story about war set in Germany.,2019,October,Comedies,Germany,2,80.0,
s49,Movie,The Shadow,Sofia Alvarez,"Omar Patel, Sara Muller",Australia,2016-12-18,2001,TV-Y7,136 min,"Sci-Fi & Fantasy, Docuseries, International Movies",A story about survival set in Australia.,2016,December,Sci-Fi & Fantasy,Australia,15,136.0,
s50,TV Show,Broken Heart,Not Given,"Aiko Kim, Aiko Silva, Raj Garcia, Sara Chen, Aiko Kim",Mexico,2018-03-26,2015,TV-Y,7 Seasons,Sci-Fi & Fantasy,A story about betrayal set in Mexico.,2018,March,Sci-Fi & Fantasy,Mexico,3,,7.0
s51,Movie,Golden Shadow,David Okafor,"Raj Brown, Yusuf Rossi",South Korea,2017-02-07,2001,NR,116 min,"Docuseries, Anime, Romantic Movies",A story about love set in South Korea.,2017,February,Docuseries,South Korea,16,116.0,
s52,Movie,Rising Kingdom,Kenji Watanabe,"Tom Novak, Nina Garcia, John Patel, Elena Kowalski, Fatima Novak",United Kingdom,2021-03-06,2009,TV-MA,140 min,"Documentaries, Action & Adventure",A story about betrayal set in United Kingdom.,2021,March,Documentaries,United Kingdom,12,140.0,
s53,Movie,A Kingdom,Priya Sharma,"Yusuf Novak, Liam Kim, Sara Rossi, Nina Khan",Spain,2017-10-24,2017,TV-Y,94 min,"International Movies, Reality TV, Comedies",A story about family set in Spain.,2017,October,International Movies,Spain,0,94.0,
s54,TV Show,Broken Storm,Not Given,"Sara Smith, Liam Novak, Liam Brown, Elena Dubois",Brazil,2016-08-31,2015,TV-Y7,5 Season,"Stand-Up Comedy, Romantic Movies",A story about war set in Brazil.,2016,August,Stand-Up Comedy,Brazil,1,,5.0
s55,TV Show,Secret Horizon,Not Given,"John Silva, Grace Rossi, Grace Lee, Omar Kim, Carlos Patel",Nigeria,2020-06-04,2020,TV-Y7,1 Season,"Anime, Reality TV, Comedies",A story about friendship set in Nigeria.,2020,June,Anime,Nigeria,0,,1.0
s56,Movie,Silent Journey,Marcus Lee,"Sara Patel, Wei Garcia, Nina Kowalski, Liam Silva, Elena Novak",South Korea,2020-03-23,2020,PG,179 min,"Stand-Up Comedy, Thrillers, Anime",A story about friendship set in South Korea.,2020,March,Stand-Up Comedy,South Korea,0,179.0,
s57,TV Show,The Horizon (Season 3),Not Given,"Grace Garcia, Carlos Garcia, Omar Patel",Mexico,2019-12-23,2003,TV-PG,6 Season,Comedies,A story about war set in Mexico.,2019,December,Comedies,Mexico,16,,6.0
s58,TV Show,Midnight Storm,Not Given,"Fatima Ahmed, Carlos Dubois, Raj Kowalski",United Kingdom,2016-12-18,2005,TV-14,5 Seasons,"Romantic Movies, Docuseries, Horror Movies",A story about survival set in United Kingdom.,2016,December,Romantic Movies,United Kingdom,11,,5.0
s59,Movie,Midnight Heart,Kenji Watanabe,"Tom Kowalski, Nina Lee",France,2021-05-20,2021,TV-PG,79 min,"Sports Movies, Horror Movies",A story about family set in France.,2021,May,Sports Movies,France,0,79.0,
s60,Movie,Broken Dream,Priya Sharma,"Fatima Kim, Sara Rossi, Maria Khan, Carlos Dubois",Japan,2019-08-29,2018,PG-13,72 min,"Stand-Up Comedy, International Movies, Dramas",A story about love set in Japan.,2019,August,Stand-Up Comedy,Japan,1,72.0,
s61,TV Show,Silent Dream,Not Given,"Elena Kowalski, Aiko Khan, Raj Khan",Australia,2016-07-14,2008,TV-14,6 Seasons,"Sci-Fi & Fantasy, Dramas",A story about war set in Australia.,2016,July,Sci-Fi & Fantasy,Australia,8,,6.0
s62,TV Show,A Dream,Not Given,"Wei Khan, Wei Kowalski, Yusuf Lee, Aiko Ahmed, Yusuf Lee",France,2017-11-18,2005,TV-Y7,7 Season,"Action & Adventure, Romantic Movies",A story about betrayal set in France.,2017,November,Action & Adventure,France,12,,7.0
s63,Movie,Secret City,Hugo Fischer,"Maria Kowalski, Carlos Smith, Liam Ahmed, Maria Rossi",Japan,2021-07-11,2021,PG-13,144 min,"Sports Movies, Comedies",A story about ambition set in Japan.,2021,July,Sports Movies,Japan,0,144.0,
s64,Movie,Endless Code,Emily Carter,"Raj Garcia, Raj Brown, Nina Lee",Mexico,2019-07-31,2009,TV-14,87 min,Comedies,A story about family set in Mexico.,2019,July,Comedies,Mexico,10,87.0,
s65,TV Show,A Shadow,Not Given,"Carlos Rossi, Aiko Patel, Grace Novak",Germany,2021-08-02,2013,TV-PG,4 Seasons,"Reality TV, International Movies",A story about love set in Germany.,2021,August,Reality TV,Germany,8,,4.0
s66,TV Show,Secret Heart,Not Given,"Sara Silva, Maria Patel, Aiko Ahmed",Italy,2021-01-02,2020,TV-MA,4 Season,Sci-Fi & Fantasy,A story about betrayal set in Italy.,2021,January,Sci-Fi & Fantasy,Italy,1,,4.0
s67,Movie,Endless Journey,Rajiv Menon,"Fatima Chen, Omar Dubois, Fatima Garcia, Sara Kowalski",Germany,2021-07-29,2006,R,174 min,Anime,A story about survival set in Germany.,2021,July,Anime,Germany,15,174.0,
s68,TV Show,Endless Journey,Not Given,"Wei Ahmed, Liam Kowalski, Wei Garcia",Brazil,2016-06-23,2000,TV-MA,3 Seasons,Anime,A story about love set in Brazil.,2016,June,Anime,Brazil,16,,3.0
s69,Movie,The Kingdom,David Okafor,"Grace Garcia, Nina Rossi",Nigeria,2020-10-03,2011,G,83 min,"Romantic Movies, Horror Movies",A story about love set in Nigeria.,2020,October,Romantic Movies,Nigeria,9,83.0,
s70,TV Show,Rising Dream,Not Given,"John Rossi, Sara Kim",South Korea,2021-01-28,2021,TV-Y7,6 Seasons,Documentaries,A story about war set in South Korea.,2021,January,Documentaries,South Korea,0,,6.0
s71,Movie,A Kingdom,Kenji Watanabe,"Carlos Dubois, Yusuf Muller, Nina Ahmed, Elena Kim",India,2021-03-08,2003,R,125 min,"Romantic Movies, Kids TV",A story about war set in India.,2021,March,Romantic Movies,India,18,125.0,
s72,TV Show,Broken City,Not Given,"Carlos Silva, Raj Muller, Aiko Chen, Raj Lee",Spain,2016-01-09,2002,TV-14,1 Season,"Sports Movies, Stand-Up Comedy, Documentaries",A story about love set in Spain.,2016,January,Sports Movies,Spain,14,,1.0
s73,Movie,Rising Code,Emily Carter,"Carlos Silva, Sara Patel",Nigeria,2015-07-30,2013,PG-13,146 min,"Sports Movies, Comedies",A story about ambition set in Nigeria.,2015,July,Sports Movies,Nigeria,2,146.0,
s74,Movie,Silent Legacy,Alicia Wren,"Sara Ahmed, Aiko Garcia, Omar Muller, Elena Khan",Nigeria,2021-04-16,2013,G,148 min,"Dramas, Horror Movies, Anime",A story about family set in Nigeria.,2021,April,Dramas,Nigeria,8,148.0,
s75,Movie,Midnight Dream,Emily Carter,"John Chen, Sara Chen, Elena Patel, Carlos Garcia",United Kingdom,2020-02-01,2020,TV-14,165 min,"Kids TV, Docuseries, Sci-Fi & Fantasy",A story about friendship set in United Kingdom.,2020,February,Kids TV,United Kingdom,0,165.0,
s76,Movie,Golden Dream,Emily Carter,"Tom Smith, Wei Chen",Nigeria,2019-02-20,2019,TV-14,104 min,"Reality TV, Romantic Movies",A story about friendship set in Nigeria.,2019,February,Reality TV,Nigeria,0,104.0,
s77,Movie,Secret Code,Alicia Wren,"Carlos Garcia, Liam Patel, Raj Dubois, Nina Ahmed",Brazil,2015-07-06,2009,R,120 min,"Comedies, Dramas, Action & Adventure",A story about family set in Brazil.,2015,July,Comedies,Brazil,6,120.0,
s78,TV Show,Last Dream,Not Given,"John Rossi, Grace Kim",United Kingdom,2019-04-07,2004,NR,6 Season,"Sports Movies, Comedies, Kids TV",A story about love set in United Kingdom.,2019,April,Sports Movies,United Kingdom,15,,6.0
s79,Movie,Silent Shadow,Emily Carter,"Elena Kim, Grace Patel, Carlos Muller, Maria Kim, John Silva",United Kingdom,2020-04-16,2019,PG,81 min,"Action & Adventure, Docuseries",A story about identity set in United Kingdom.,2020,April,Action & Adventure,United Kingdom,1,81.0,
s80,Movie,Rising Shadow,David Okafor,"Grace Silva, Fatima Silva, Omar Chen, Maria Ahmed",Brazil,2020-12-13,2003,NR,94 min,"Sports Movies, Docuseries",A story about survival set in Brazil.,2020,December,Sports Movies,Brazil,17,94.0,
s81,Movie,Last Dream,Sofia Alvarez,"Elena Chen, Omar Kowalski, Raj Garcia",United Kingdom,2021-05-20,2020,TV-Y7,166 min,"Sci-Fi & Fantasy, Anime, Horror Movies",A story about war set in United Kingdom.,2021,May,Sci-Fi & Fantasy,United Kingdom,1,166.0,
s82,TV Show,Golden Kingdom,Not Given,"Nina Patel, Liam Kowalski, Liam Dubois, John Silva, Yusuf Garcia",France,2020-01-26,2014,TV-MA,1 Season,"Documentaries, Anime",A story about betrayal set in France.,2020,January,Documentaries,France,6,,1.0
s83,Movie,Rising City,Priya Sharma,"Nina Lee, Omar Dubois",Brazil,2018-08-09,2006,G,130 min,"International Movies, Dramas, Romantic Movies",A story about betrayal set in Brazil.,2018,August,International Movies,Brazil,12,130.0,
s84,TV Show,Golden Shadow,Not Given,"John Khan, Grace Rossi, Nina Ahmed",Germany,2019-06-12,2019,PG,3 Seasons,"Reality TV, Stand-Up Comedy",A story about war set in Germany.,2019,June,Reality TV,Germany,0,,3.0
s85,Movie,The Storm,Alicia Wren,"Maria Ahmed, Raj Kim, Liam Muller, Grace Brown",Brazil,2021-06-13,2019,TV-PG,112 min,International Movies,A story about war set in Brazil.,2021,June,International Movies,Brazil,2,112.0,
s86,Movie,Broken Kingdom,Not Given,"Liam Ahmed, Carlos Patel",Nigeria,2016-06-07,2010,NR,81 min,"Reality TV, Crime TV Shows, Thrillers",A story about love set in Nigeria.,2016,June,Reality TV,Nigeria,6,81.0,
s87,Movie,Last Legacy,Emily Carter,"Fatima Khan, Wei Chen, Maria Muller, Sara Kowalski, Maria Ahmed",Nigeria,2021-02-21,2017,NR,74 min,"Anime, Sci-Fi & Fantasy, Stand-Up Comedy",A story about survival set in Nigeria.,2021,February,Anime,Nigeria,4,74.0,
s88,Movie,Last Kingdom,Marcus Lee,"Grace Rossi, John Kim, Aiko Patel",Mexico,2019-12-25,2007,G,106 min,"Sci-Fi & Fantasy, Action & Adventure, Crime TV Shows",A story about ambition set in Mexico.,2019,December,Sci-Fi & Fantasy,Mexico,12,106.0,
s89,Movie,Silent Legacy,Emily Carter,"Nina Kowalski, Liam Kowalski, Carlos Ahmed, Yusuf Kim, Wei Brown",Canada,2019-05-22,2019,PG-13,76 min,"Docuseries, Reality TV, Thrillers",A story about betrayal set in Canada.,2019,May,Docuseries,Canada,0,76.0,
s90,TV Show,Rising Shadow,Not Given,"Liam Rossi, Tom Ahmed, Wei Brown",South Korea,2017-06-28,2002,TV-Y7,3 Seasons,"Comedies, Kids TV",A story about war set in South Korea.,2017,June,Comedies,South Korea,15,,3.0
s91,Movie,A Storm,Sofia Alvarez,"Aiko Lee, Maria Brown",Mexico,2020-12-09,2020,TV-PG,87 min,Horror Movies,A story about friendship set in Mexico.,2020,December,Horror Movies,Mexico,0,87.0,
s92,TV Show,Last Heart,Not Given,"Tom Garcia, John Muller",Canada,2021-02-25,2004,G,5 Season,"Romantic Movies, International Movies",A story about betrayal set in Canada.,2021,February,Romantic Movies,Canada,17,,5.0
s93,Movie,Broken Horizon,Priya Sharma,"Maria Brown, Tom Rossi",Australia,2017-02-03,2017,NR,143 min,International Movies,A story about family set in Australia.,2017,February,International Movies,Australia,0,143.0,
s94,Movie,Endless Storm,Sofia Alvarez,"Wei Patel, Raj Garcia, Yusuf Silva, Maria Ahmed, Yusuf Ahmed",Nigeria,2016-03-24,2016,TV-Y,130 min,Stand-Up Comedy,A story about war set in Nigeria.,2016,March,Stand-Up Comedy,Nigeria,0,130.0,
s95,Movie,The Storm,Alicia Wren,"Fatima Novak, Raj Patel, Maria Kowalski, Elena Novak",Nigeria,2016-06-30,2010,TV-MA,115 min,"Anime, Reality TV, Docuseries",A story about survival set in Nigeria.,2016,June,Anime,Nigeria,6,115.0,
s96,TV Show,Silent Heart,Not Given,"Maria Novak, Omar Rossi, John Muller",Canada,2017-03-28,2001,TV-MA,3 Seasons,"Stand-Up Comedy, Reality TV, Crime TV Shows",A story about friendship set in Canada.,2017,March,Stand-Up Comedy,Canada,16,,3.0
s97,Movie,Secret Dream,Emily Carter,"Sara Patel, Aiko Muller",India,2019-11-25,2011,TV-Y,165 min,"Stand-Up Comedy, Thrillers",A story about survival set in India.,2019,November,Stand-Up Comedy,India,8,165.0,
s98,Movie,Silent Storm,Hugo Fischer,"Omar Garcia, Grace Kim, Maria Kim, Elena Brown",United Kingdom,2018-08-25,2017,PG,83 min,Anime,A story about family set in United Kingdom.,2018,August,Anime,United Kingdom,1,83.0,
s99,Movie,Endless City,Marcus Lee,"Aiko Rossi, John Novak, Sara Lee, Aiko Dubois, Carlos Muller",Brazil,2015-11-04,2001,TV-Y,116 min,"Thrillers, Dramas, Documentaries",A story about friendship set in Brazil.,2015,November,Thrillers,Brazil,14,116.0,
s100,Movie,A Legacy,Emily Carter,"Carlos Dubois, John Dubois, Wei Patel, Nina Silva",Japan,2015-11-11,2014,G,87 min,"Sports Movies, Kids TV, Thrillers",A story about family set in Japan.,2015,November,Sports Movies,Japan,1,87.0,
s101,Movie,A Journey,Marcus Lee,"Yusuf Kim, Tom Ahmed, Maria Muller, Omar Muller, Grace Rossi",Canada,2019-10-20,2019,TV-Y7,95 min,International Movies,A story about betrayal set in Canada.,2019,October,International Movies,Canada,0,95.0,
s102,Movie,Silent Shadow,Emily Carter,"Grace Garcia, Yusuf Ahmed, Liam Lee, Liam Brown",United Kingdom,2020-06-27,2020,PG,135 min,Action & Adventure,A story about ambition set in United Kingdom.,2020,June,Action & Adventure,United Kingdom,0,135.0,
s103,TV Show,Secret Heart (Season 3),Not Given,"Omar Ahmed, Wei Dubois, Tom Garcia, Maria Muller, Carlos Novak",Mexico,2020-11-23,2015,TV-Y,7 Season,"Documentaries, Docuseries, Thrillers",A story about betrayal set in Mexico.,2020,November,Documentaries,Mexico,5,,7.0
s104,Movie,Rising Storm,Marcus Lee,"Omar Chen, Carlos Ahmed, Tom Brown",United States,2020-10-23,2003,TV-PG,108 min,Thrillers,A story about war set in United States.,2020,October,Thrillers,United States,17,108.0,
s105,TV Show,Secret Storm,Not Given,"Sara Garcia, Liam Khan, Raj Ahmed, Liam Chen",Brazil,2020-12-25,2009,TV-14,5 Seasons,"International Movies, Documentaries, Anime",A story about war set in Brazil.,2020,December,International Movies,Brazil,11,,5.0
s106,TV Show,Endless Journey,Not Given,"Maria Smith, Raj Kowalski",Australia,2017-05-13,2008,G,4 Seasons,Docuseries,A story about family set in Australia.,2017,May,Docuseries,Australia,9,,4.0
s107,Movie,Midnight Heart,Sofia Alvarez,"Liam Rossi, Maria Novak, John Chen, Nina Kim, Nina Rossi",Canada,2016-08-11,2010,PG,180 min,"Anime, Sports Movies, Reality TV",A story about war set in Canada.,2016,August,Anime,Canada,6,180.0,
s108,TV Show,Last Storm,Not Given,"Aiko Khan, Nina Garcia",France,2017-10-12,2014,TV-PG,1 Season,"Reality TV, Action & Adventure",A story about survival set in France.,2017,October,Reality TV,France,3,,1.0
s109,TV Show,Endless Storm (Season 2),Not Given,"Yusuf Rossi, Nina Lee, Liam Rossi, John Garcia, Carlos Ahmed",Spain,2017-05-31,2007,G,3 Season,"Docuseries, Horror Movies",A story about friendship set in Spain.,2017,May,Docuseries,Spain,10,,3.0
s112,Movie,The Journey,Marcus Lee,"Omar Rossi, Yusuf Rossi, Wei Dubois, Tom Ahmed",United Kingdom,2018-07-28,2010,TV-PG,120 min,"Horror Movies, Docuseries, Thrillers",A story about friendship set in United Kingdom.,2018,July,Horror Movies,United Kingdom,8,120.0,
s113,TV Show,Midnight Heart,Not Given,"Aiko Patel, Maria Kim, Elena Muller, Omar Lee",Mexico,2020-01-28,2020,G,4 Season,"Romantic Movies, Sports Movies, Dramas",A story about friendship set in Mexico.,2020,January,Romantic Movies,Mexico,0,,4.0
s114,Movie,Endless City,Marcus Lee,"John Dubois, Grace Garcia, Fatima Smith",Spain,2019-09-12,2010,TV-PG,122 min,"Kids TV, Docuseries, Crime TV Shows",A story about friendship set in Spain.,2019,September,Kids TV,Spain,9,122.0,
