show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s21,TV Show,Last Code (Season 3),,"Carlos Chen, John Muller, Aiko Lee",Italy,"January 5, 2019",2001,R,6 Season,Sports Movies,A story about identity set in Italy.
s22,TV Show,Last Legacy,,"Tom Kim, John Chen, Grace Lee",Japan,"October 13, 2017",2013,PG-13,2 Seasons,Stand-Up Comedy,A story about love set in Japan.
s23,TV Show,Secret Legacy,,"Aiko Muller, Sara Kowalski, Sara Khan, Fatima Smith, Raj Khan",South Korea,"February 15, 2018",2010,TV-14,7 Season,"Stand-Up Comedy, Anime, Reality TV",A story about war set in South Korea.
s24,TV Show,A Dream (Season 3),,"Maria Dubois, Carlos Silva",Mexico,"November 23, 2019",2010,G,5 Season,"Kids TV, International Movies, Dramas",A story about identity set in Mexico.
s25,Movie,Rising Legacy,Emily Carter,"Maria Patel, Tom Silva, Elena Silva, Raj Brown, Maria Novak",Italy,"September 8, 2020",2009,PG-13,155 min,"Anime, Kids TV",A story about family set in Italy.
s26,Movie,Secret City,David Okafor,"Elena Dubois, Liam Kim, Yusuf Brown",United States,"March 21, 2018",2009,R,125 min,"Anime, Romantic Movies, Sci-Fi & Fantasy",A story about friendship set in United States.
s27,Movie,Rising Heart,Marcus Lee,"Liam Ahmed, Raj Patel",Australia,"January 18, 2016",2010,R,156 min,"Romantic Movies, Stand-Up Comedy",A story about ambition set in Australia.
s28,Movie,The Legacy,Priya Sharma,"Nina Kim, Tom Patel",Australia,"April 22, 2019",2006,TV-Y7,121 min,International Movies,A story about love set in Australia.
s29,TV Show,A City,,"John Ahmed, Fatima Lee, Sara Garcia, Nina Chen, Omar Rossi",Brazil,"July 23, 2019",2016,TV-Y7,5 Seasons,"Reality TV, Docuseries, Crime TV Shows",A story about friendship set in Brazil.
s30,TV Show,Silent Heart,,"Sara Patel, Liam Kowalski, Omar Ahmed",Spain,"September 1, 2020",2020,PG-13,4 Season,"Romantic Movies, International Movies",A story about war set in Spain.
s31,Movie,Rising Shadow,Marcus Lee,"Fatima Kim, Grace Chen, Grace Khan",India,"July 28, 2019",2013,PG,139 min,"Reality TV, Dramas",A story about ambition set in India.
s32,TV Show,Broken Horizon,,"Sara Lee, Omar Dubois",South Korea,"January 25, 2015",2015,PG,3 Seasons,"Romantic Movies, Docuseries",A story about ambition set in South Korea.
s33,Movie,Silent Journey,David Okafor,"Raj Patel, Omar Kim, Grace Chen, Sara Rossi",Italy,"December 27, 2020",2004,TV-MA,120 min,"Dramas, Comedies, Anime",A story about identity set in Italy.
s34,Movie,Silent Kingdom,Rajiv Menon,"Carlos Silva, Fatima Rossi, Aiko Silva, Omar Lee",South Korea,"September 23, 2019",2008,PG-13,176 min,Docuseries,A story about love set in South Korea.
s35,TV Show,The Storm,,"Omar Patel, John Kowalski",United States,"March 27, 2017",2007,TV-MA,5 Season,Docuseries,A story about betrayal set in United States.
s36,Movie,Secret Heart,Kenji Watanabe,"Wei Dubois, Elena Novak, Grace Garcia, Omar Brown",United Kingdom,"March 18, 2016",2009,G,73 min,"Stand-Up Comedy, Kids TV",A story about ambition set in United Kingdom.
s37,Movie,Secret Shadow,Kenji Watanabe,"Omar Dubois, Omar Smith",Japan,"May 28, 2019",2017,PG,78 min,"Anime, Dramas, Reality TV",A story about identity set in Japan.
s38,TV Show,A City,,"Grace Chen, Carlos Chen, Grace Ahmed, Raj Muller, Elena Kowalski",Italy,"May 6, 2021",2017,TV-Y7,4 Season,"Crime TV Shows, Thrillers, Reality TV",A story about ambition set in Italy.
s39,TV Show,A Dream,,"Omar Rossi, Elena Dubois, Raj Kim",Japan,"July 17, 2020",2000,PG,2 Season,"Crime TV Shows, Thrillers",A story about family set in Japan.
s40,TV Show,Midnight Code (Season 2),,"Fatima Novak, Carlos Rossi",Germany,"May 4, 2020",2007,TV-Y7,4 Seasons,Horror Movies,A story about ambition set in Germany.
s41,Movie,Secret Dream,Not Given,"Nina Ahmed, Yusuf Silva, Carlos Novak, Yusuf Silva",Japan,"January 14, 2018",2014,PG-13,102 min,Action & Adventure,A story about ambition set in Japan.
s42,Movie,Rising Kingdom,Sofia Alvarez,"Grace Rossi, Liam Novak, Elena Kowalski",Germany,"October 17, 2019",2019,TV-14,176 min,Horror Movies,A story about ambition set in Germany.
s43,Movie,Midnight Journey,Hugo Fischer,"Liam Smith, John Ahmed, Liam Novak",United Kingdom,"May 17, 2021",2020,TV-14,71 min,"Horror Movies, Romantic Movies, Sci-Fi & Fantasy",A story about friendship set in United Kingdom.
s44,Movie,The Dream,Priya Sharma,"Sara Garcia, Carlos Rossi",India,"July 13, 2021",2018,TV-MA,89 min,Horror Movies,A story about betrayal set in India.
s45,TV Show,A Code,,"Omar Ahmed, Carlos Rossi, Tom Rossi",France,"May 28, 2020",2018,PG-13,5 Seasons,"Action & Adventure, Stand-Up Comedy, Docuseries",A story about ambition set in France.
s46,Movie,A Kingdom,Sofia Alvarez,"Yusuf Garcia, Wei Smith, Carlos Rossi",Mexico,"April 26, 2020",2019,PG-13,74 min,Horror Movies,A story about family set in Mexico.
s47,TV Show,Silent Shadow,,"Omar Kowalski, Raj Dubois, Raj Kowalski, Tom Khan",South Korea,"February 8, 2021",2003,R,6 Season,"International Movies, Comedies",A story about love set in South Korea.
s48,Movie,Midnight Horizon,Not Given,"Nina Garcia, Nina Novak, Liam Novak, Carlos Muller",Germany,"October 9, 2019",2017,TV-Y7,80 min,"Comedies, Sci-Fi & Fantasy, Kids TV",A story about war set in Germany.
s49,Movie,The Shadow,Sofia Alvarez,"Omar Patel, Sara Muller",Australia,"December 18, 2016",2001,TV-Y7,136 min,"Sci-Fi & Fantasy, Docuseries, International Movies",A story about survival set in Australia.
s50,TV Show,Broken Heart,,"Aiko Kim, Aiko Silva, Raj Garcia, Sara Chen, Aiko Kim",Mexico,"March 26, 2018",2015,TV-Y,7 Seasons,Sci-Fi & Fantasy,A story about betrayal set in Mexico.
s51,Movie,Golden Shadow,David Okafor,"Raj Brown, Yusuf Rossi",South Korea,"February 7, 2017",2001,NR,116 min,"Docuseries, Anime, Romantic Movies",A story about love set in South Korea.
s52,Movie,Rising Kingdom,Kenji Watanabe,"Tom Novak, Nina Garcia, John Patel, Elena Kowalski, Fatima Novak",United Kingdom,"March 6, 2021",2009,TV-MA,140 min,"Documentaries, Action & Adventure",A story about betrayal set in United Kingdom.
s53,Movie,A Kingdom,Priya Sharma,"Yusuf Novak, Liam Kim, Sara Rossi, Nina Khan",Spain,"October 24, 2017",2017,TV-Y,94 min,"International Movies, Reality TV, Comedies",A story about family set in Spain.
s54,TV Show,Broken Storm,,"Sara Smith, Liam Novak, Liam Brown, Elena Dubois",Brazil,"August 31, 2016",2015,TV-Y7,5 Season,"Stand-Up Comedy, Romantic Movies",A story about war set in Brazil.
s55,TV Show,Secret Horizon,,"John Silva, Grace Rossi, Grace Lee, Omar Kim, Carlos Patel",Nigeria,"June 4, 2020",2020,TV-Y7,1 Season,"Anime, Reality TV, Comedies",A story about friendship set in Nigeria.
s56,Movie,Silent Journey,Marcus Lee,"Sara Patel, Wei Garcia, Nina Kowalski, Liam Silva, Elena Novak",South Korea,"March 23, 2020",2020,PG,179 min,"Stand-Up Comedy, Thrillers, Anime",A story about friendship set in South Korea.
s57,TV Show,The Horizon (Season 3),,"Grace Garcia, Carlos Garcia, Omar Patel",Mexico,"December 23, 2019",2003,TV-PG,6 Season,Comedies,A story about war set in Mexico.
s58,TV Show,Midnight Storm,,"Fatima Ahmed, Carlos Dubois, Raj Kowalski",United Kingdom,"December 18, 2016",2005,TV-14,5 Seasons,"Romantic Movies, Docuseries, Horror Movies",A story about survival set in United Kingdom.
s59,Movie,Midnight Heart,Kenji Watanabe,"Tom Kowalski, Nina Lee",France,"May 20, 2021",2021,TV-PG,79 min,"Sports Movies, Horror Movies",A story about family set in France.
s60,Movie,Broken Dream,Priya Sharma,"Fatima Kim, Sara Rossi, Maria Khan, Carlos Dubois",Japan,"August 29, 2019",2018,PG-13,72 min,"Stand-Up Comedy, International Movies, Dramas",A story about love set in Japan.
s61,TV Show,Silent Dream,,"Elena Kowalski, Aiko Khan, Raj Khan",Australia,"July 14, 2016",2008,TV-14,6 Seasons,"Sci-Fi & Fantasy, Dramas",A story about war set in Australia.
s62,TV Show,A Dream,,"Wei Khan, Wei Kowalski, Yusuf Lee, Aiko Ahmed, Yusuf Lee",France,"November 18, 2017",2005,TV-Y7,7 Season,"Action & Adventure, Romantic Movies",A story about betrayal set in France.
s63,Movie,Secret City,Hugo Fischer,"Maria Kowalski, Carlos Smith, Liam Ahmed, Maria Rossi",Japan,"July 11, 2021",2021,PG-13,144 min,"Sports Movies, Comedies",A story about ambition set in Japan.
s64,Movie,Endless Code,Emily Carter,"Raj Garcia, Raj Brown, Nina Lee",Mexico,"July 31, 2019",2009,TV-14,87 min,Comedies,A story about family set in Mexico.
s65,TV Show,A Shadow,,"Carlos Rossi, Aiko Patel, Grace Novak",Germany,"August 2, 2021",2013,TV-PG,4 Seasons,"Reality TV, International Movies",A story about love set in Germany.
s66,TV Show,Secret Heart,,"Sara Silva, Maria Patel, Aiko Ahmed",Italy,"January 2, 2021",2020,TV-MA,4 Season,Sci-Fi & Fantasy,A story about betrayal set in Italy.
s67,Movie,Endless Journey,Rajiv Menon,"Fatima Chen, Omar Dubois, Fatima Garcia, Sara Kowalski",Germany,"July 29, 2021",2006,R,174 min,Anime,A story about survival set in Germany.
s68,TV Show,Endless Journey,,"Wei Ahmed, Liam Kowalski, Wei Garcia",Brazil,"June 23, 2016",2000,TV-MA,3 Seasons,Anime,A story about love set in Brazil.
s69,Movie,The Kingdom,David Okafor,"Grace Garcia, Nina Rossi",Nigeria,"October 3, 2020",2011,G,83 min,"Romantic Movies, Horror Movies",A story about love set in Nigeria.
s70,TV Show,Rising Dream,,"John Rossi, Sara Kim",South Korea,"January 28, 2021",2021,TV-Y7,6 Seasons,Documentaries,A story about war set in South Korea.
s71,Movie,A Kingdom,Kenji Watanabe,"Carlos Dubois, Yusuf Muller, Nina Ahmed, Elena Kim",India,"March 8, 2021",2003,R,125 min,"Romantic Movies, Kids TV",A story about war set in India.
s72,TV Show,Broken City,,"Carlos Silva, Raj Muller, Aiko Chen, Raj Lee",Spain,"January 9, 2016",2002,TV-14,1 Season,"Sports Movies, Stand-Up Comedy, Documentaries",A story about love set in Spain.
s73,Movie,Rising Code,Emily Carter,"Carlos Silva, Sara Patel",Nigeria,"July 30, 2015",2013,PG-13,146 min,"Sports Movies, Comedies",A story about ambition set in Nigeria.
s74,Movie,Silent Legacy,Alicia Wren,"Sara Ahmed, Aiko Garcia, Omar Muller, Elena Khan",Nigeria,"April 16, 2021",2013,G,148 min,"Dramas, Horror Movies, Anime",A story about family set in Nigeria.
s75,Movie,Midnight Dream,Emily Carter,"John Chen, Sara Chen, Elena Patel, Carlos Garcia",United Kingdom,"February 1, 2020",2020,TV-14,165 min,"Kids TV, Docuseries, Sci-Fi & Fantasy",A story about friendship set in United Kingdom.
s76,Movie,Golden Dream,Emily Carter,"Tom Smith, Wei Chen",Nigeria,"February 20, 2019",2019,TV-14,104 min,"Reality TV, Romantic Movies",A story about friendship set in Nigeria.
s77,Movie,Secret Code,Alicia Wren,"Carlos Garcia, Liam Patel, Raj Dubois, Nina Ahmed",Brazil,"July 6, 2015",2009,R,120 min,"Comedies, Dramas, Action & Adventure",A story about family set in Brazil.
s78,TV Show,Last Dream,,"John Rossi, Grace Kim",United Kingdom,"April 7, 2019",2004,NR,6 Season,"Sports Movies, Comedies, Kids TV",A story about love set in United Kingdom.
s79,Movie,Silent Shadow,Emily Carter,"Elena Kim, Grace Patel, Carlos Muller, Maria Kim, John Silva",United Kingdom,"April 16, 2020",2019,PG,81 min,"Action & Adventure, Docuseries",A story about identity set in United Kingdom.
s80,Movie,Rising Shadow,David Okafor,"Grace Silva, Fatima Silva, Omar Chen, Maria Ahmed",Brazil,"December 13, 2020",2003,NR,94 min,"Sports Movies, Docuseries",A story about survival set in Brazil.
s81,Movie,Last Dream,Sofia Alvarez,"Elena Chen, Omar Kowalski, Raj Garcia",United Kingdom,"May 20, 2021",2020,TV-Y7,166 min,"Sci-Fi & Fantasy, Anime, Horror Movies",A story about war set in United Kingdom.
s82,TV Show,Golden Kingdom,,"Nina Patel, Liam Kowalski, Liam Dubois, John Silva, Yusuf Garcia",France,"January 26, 2020",2014,TV-MA,1 Season,"Documentaries, Anime",A story about betrayal set in France.
s83,Movie,Rising City,Priya Sharma,"Nina Lee, Omar Dubois",Brazil,"August 9, 2018",2006,G,130 min,"International Movies, Dramas, Romantic Movies",A story about betrayal set in Brazil.
s84,TV Show,Golden Shadow,,"John Khan, Grace Rossi, Nina Ahmed",Germany,"June 12, 2019",2019,PG,3 Seasons,"Reality TV, Stand-Up Comedy",A story about war set in Germany.
s85,Movie,The Storm,Alicia Wren,"Maria Ahmed, Raj Kim, Liam Muller, Grace Brown",Brazil,"June 13, 2021",2019,TV-PG,112 min,International Movies,A story about war set in Brazil.
s86,Movie,Broken Kingdom,Not Given,"Liam Ahmed, Carlos Patel",Nigeria,"June 7, 2016",2010,NR,81 min,"Reality TV, Crime TV Shows, Thrillers",A story about love set in Nigeria.
s87,Movie,Last Legacy,Emily Carter,"Fatima Khan, Wei Chen, Maria Muller, Sara Kowalski, Maria Ahmed",Nigeria,"February 21, 2021",2017,NR,74 min,"Anime, Sci-Fi & Fantasy, Stand-Up Comedy",A story about survival set in Nigeria.
s88,Movie,Last Kingdom,Marcus Lee,"Grace Rossi, John Kim, Aiko Patel",Mexico,"December 25, 2019",2007,G,106 min,"Sci-Fi & Fantasy, Action & Adventure, Crime TV Shows",A story about ambition set in Mexico.
s89,Movie,Silent Legacy,Emily Carter,"Nina Kowalski, Liam Kowalski, Carlos Ahmed, Yusuf Kim, Wei Brown",Canada,"May 22, 2019",2019,PG-13,76 min,"Docuseries, Reality TV, Thrillers",A story about betrayal set in Canada.
s90,TV Show,Rising Shadow,,"Liam Rossi, Tom Ahmed, Wei Brown",South Korea,"June 28, 2017",2002,TV-Y7,3 Seasons,"Comedies, Kids TV",A story about war set in South Korea.
s91,Movie,A Storm,Sofia Alvarez,"Aiko Lee, Maria Brown",Mexico,"December 9, 2020",2020,TV-PG,87 min,Horror Movies,A story about friendship set in Mexico.
s92,TV Show,Last Heart,,"Tom Garcia, John Muller",Canada,"February 25, 2021",2004,G,5 Season,"Romantic Movies, International Movies",A story about betrayal set in Canada.
s93,Movie,Broken Horizon,Priya Sharma,"Maria Brown, Tom Rossi",Australia,"February 3, 2017",2017,NR,143 min,International Movies,A story about family set in Australia.
s94,Movie,Endless Storm,Sofia Alvarez,"Wei Patel, Raj Garcia, Yusuf Silva, Maria Ahmed, Yusuf Ahmed",Nigeria,"March 24, 2016",2016,TV-Y,130 min,Stand-Up Comedy,A story about war set in Nigeria.
s95,Movie,The Storm,Alicia Wren,"Fatima Novak, Raj Patel, Maria Kowalski, Elena Novak",Nigeria,"June 30, 2016",2010,TV-MA,115 min,"Anime, Reality TV, Docuseries",A story about survival set in Nigeria.
s96,TV Show,Silent Heart,,"Maria Novak, Omar Rossi, John Muller",Canada,"March 28, 2017",2001,TV-MA,3 Seasons,"Stand-Up Comedy, Reality TV, Crime TV Shows",A story about friendship set in Canada.
s97,Movie,Secret Dream,Emily Carter,"Sara Patel, Aiko Muller",India,"November 25, 2019",2011,TV-Y,165 min,"Stand-Up Comedy, Thrillers",A story about survival set in India.
s98,Movie,Silent Storm,Hugo Fischer,"Omar Garcia, Grace Kim, Maria Kim, Elena Brown",United Kingdom,"August 25, 2018",2017,PG,83 min,Anime,A story about family set in United Kingdom.
s99,Movie,Endless City,Marcus Lee,"Aiko Rossi, John Novak, Sara Lee, Aiko Dubois, Carlos Muller",Brazil,"November 4, 2015",2001,TV-Y,116 min,"Thrillers, Dramas, Documentaries",A story about friendship set in Brazil.
s100,Movie,A Legacy,Emily Carter,"Carlos Dubois, John Dubois, Wei Patel, Nina Silva",Japan,"November 11, 2015",2014,G,87 min,"Sports Movies, Kids TV, Thrillers",A story about family set in Japan.
s101,Movie,A Journey,Marcus Lee,"Yusuf Kim, Tom Ahmed, Maria Muller, Omar Muller, Grace Rossi",Canada,"October 20, 2019",2019,TV-Y7,95 min,International Movies,A story about betrayal set in Canada.
s102,Movie,Silent Shadow,Emily Carter,"Grace Garcia, Yusuf Ahmed, Liam Lee, Liam Brown",United Kingdom,"June 27, 2020",2020,PG,135 min,Action & Adventure,A story about ambition set in United Kingdom.
s103,TV Show,Secret Heart (Season 3),,"Omar Ahmed, Wei Dubois, Tom Garcia, Maria Muller, Carlos Novak",Mexico,"November 23, 2020",2015,TV-Y,7 Season,"Documentaries, Docuseries, Thrillers",A story about betrayal set in Mexico.
s104,Movie,Rising Storm,Marcus Lee,"Omar Chen, Carlos Ahmed, Tom Brown",United States,"October 23, 2020",2003,TV-PG,108 min,Thrillers,A story about war set in United States.
s105,TV Show,Secret Storm,,"Sara Garcia, Liam Khan, Raj Ahmed, Liam Chen",Brazil,"December 25, 2020",2009,TV-14,5 Seasons,"International Movies, Documentaries, Anime",A story about war set in Brazil.
s106,TV Show,Endless Journey,,"Maria Smith, Raj Kowalski",Australia,"May 13, 2017",2008,G,4 Seasons,Docuseries,A story about family set in Australia.
s107,Movie,Midnight Heart,Sofia Alvarez,"Liam Rossi, Maria Novak, John Chen, Nina Kim, Nina Rossi",Canada,"August 11, 2016",2010,PG,180 min,"Anime, Sports Movies, Reality TV",A story about war set in Canada.
s108,TV Show,Last Storm,,"Aiko Khan, Nina Garcia",France,"October 12, 2017",2014,TV-PG,1 Season,"Reality TV, Action & Adventure",A story about survival set in France.
s109,TV Show,Endless Storm (Season 2),,"Yusuf Rossi, Nina Lee, Liam Rossi, John Garcia, Carlos Ahmed",Spain,"May 31, 2017",2007,G,3 Season,"Docuseries, Horror Movies",A story about friendship set in Spain.
s110,Movie,The Shadow,David Okafor,"Tom Muller, Grace Silva, Omar Kim",Japan,"June 29, 2019",2001,TV-MA,142 min,"Kids TV, Thrillers, Crime TV Shows",A story about family set in Japan.
s111,Movie,Rising Heart,Hugo Fischer,"Sara Dubois, Raj Dubois, Maria Chen, Maria Kim",Japan,"April 3, 2021",2010,PG,166 min,Kids TV,A story about identity set in Japan.
s112,Movie,The Journey,Marcus Lee,"Omar Rossi, Yusuf Rossi, Wei Dubois, Tom Ahmed",United Kingdom,"July 28, 2018",2010,TV-PG,120 min,"Horror Movies, Docuseries, Thrillers",A story about friendship set in United Kingdom.
s113,TV Show,Midnight Heart,,"Aiko Patel, Maria Kim, Elena Muller, Omar Lee",Mexico,"January 28, 2020",2020,G,4 Season,"Romantic Movies, Sports Movies, Dramas",A story about friendship set in Mexico.
s114,Movie,Endless City,Marcus Lee,"John Dubois, Grace Garcia, Fatima Smith",Spain,"September 12, 2019",2010,TV-PG,122 min,"Kids TV, Docuseries, Crime TV Shows",A story about friendship set in Spain.
s115,TV Show,The Kingdom,,"Raj Rossi, Yusuf Kim, Aiko Chen, Nina Lee",Germany,"February 15, 2021",2010,PG,6 Seasons,"Crime TV Shows, Horror Movies, Romantic Movies",A story about ambition set in Germany.
s116,TV Show,Midnight Code,,"Omar Muller, Grace Khan, Grace Novak, Nina Silva",Spain,"April 14, 2021",2011,PG-13,3 Season,"Stand-Up Comedy, Sci-Fi & Fantasy, Kids TV",A story about war set in Spain.
s117,TV Show,Last Dream (Season 1),,"Tom Rossi, Raj Muller, Grace Rossi, Fatima Khan",Egypt,"July 10, 2018",2017,NR,6 Season,Romantic Movies,A story about ambition set in Egypt.
s118,Movie,Rising Legacy,Sofia Alvarez,"Maria Kim, Aiko Novak",Spain,"July 17, 2016",2003,TV-MA,140 min,Reality TV,A story about friendship set in Spain.
s119,Movie,Secret Dream,Emily Carter,"Raj Smith, Tom Kowalski, Maria Patel, Elena Khan",Germany,"December 18, 2016",2001,TV-Y,177 min,Comedies,A story about identity set in Germany.
s120,TV Show,Last Dream,,"Liam Dubois, Elena Garcia",Italy,"March 11, 2018",2010,TV-Y7,6 Seasons,"International Movies, Reality TV",A story about friendship set in Italy.
s121,Movie,A Storm,Marcus Lee,"Raj Muller, Grace Chen, John Novak, Aiko Kowalski, Liam Dubois",Brazil,"December 19, 2016",2006,G,179 min,"Stand-Up Comedy, Reality TV, Kids TV",A story about war set in Brazil.
s122,Movie,A Kingdom,Marcus Lee,"Aiko Lee, Fatima Smith, Liam Kim, Fatima Rossi, Omar Muller",Japan,"July 13, 2021",2009,G,71 min,"Sports Movies, Docuseries",A story about ambition set in Japan.
s123,Movie,A Heart,Kenji Watanabe,"Carlos Patel, Yusuf Lee, Tom Lee",Mexico,"April 25, 2016",2009,PG-13,117 min,"Romantic Movies, Action & Adventure, Documentaries",A story about friendship set in Mexico.
s124,Movie,Endless Storm,David Okafor,"Omar Ahmed, Omar Patel, Sara Khan, Omar Khan, Raj Kowalski",Australia,"November 22, 2020",2002,TV-Y7,137 min,"Sports Movies, Comedies, Horror Movies",A story about betrayal set in Australia.
s125,Movie,Rising Code,Sofia Alvarez,"Wei Silva, Sara Ahmed, Nina Garcia",Brazil,"July 16, 2021",2006,TV-Y7,81 min,"Sci-Fi & Fantasy, Stand-Up Comedy, Dramas",A story about friendship set in Brazil.
s126,Movie,Broken Heart,Not Given,"Yusuf Rossi, Raj Kowalski",France,"June 10, 2019",2000,PG-13,174 min,Kids TV,A story about betrayal set in France.
s127,Movie,Golden Shadow,Hugo Fischer,"Tom Lee, Maria Lee",Spain,"March 21, 2018",2001,TV-Y,93 min,Reality TV,A story about war set in Spain.
s128,TV Show,Broken Heart,,"Carlos Garcia, Raj Patel, Sara Ahmed, Wei Patel, Sara Silva",India,"January 9, 2021",2005,TV-Y,5 Season,Dramas,A story about love set in India.
s129,TV Show,Silent Code,,"Sara Khan, Fatima Rossi, Aiko Chen, Liam Khan, Tom Lee",Mexico,"May 12, 2015",2003,TV-Y,5 Seasons,Romantic Movies,A story about ambition set in Mexico.
s130,Movie,Endless Journey,Priya Sharma,"Fatima Novak, John Kim",Spain,"January 19, 2021",2007,R,166 min,International Movies,A story about family set in Spain.
s131,Movie,Endless Storm,Not Given,"Fatima Muller, Tom Chen, Raj Ahmed, Fatima Kim",France,"September 7, 2015",2008,NR,145 min,"Thrillers, Anime, Sci-Fi & Fantasy",A story about identity set in France.
s132,Movie,The Storm,David Okafor,"Grace Kim, Carlos Chen, Liam Kim, Wei Kowalski",Germany,"September 14, 2017",2015,R,108 min,"International Movies, Stand-Up Comedy, Romantic Movies",A story about love set in Germany.
s133,Movie,Broken Code,Hugo Fischer,"Carlos Khan, Liam Khan, Aiko Patel",India,"February 28, 2019",2014,TV-14,138 min,"Kids TV, Dramas, International Movies",A story about identity set in India.
s134,Movie,Endless Journey,Alicia Wren,"Omar Kowalski, Elena Novak, Raj Ahmed",Canada,"May 5, 2017",2015,PG,108 min,Kids TV,A story about ambition set in Canada.
s135,TV Show,A Heart,,"Carlos Lee, Fatima Ahmed, Aiko Kowalski",France,"March 24, 2020",2012,NR,6 Season,"Sports Movies, Crime TV Shows",A story about friendship set in France.
s136,Movie,Silent Storm,Sofia Alvarez,"Aiko Kim, John Dubois, Sara Khan, Grace Chen",United States,"March 16, 2021",2008,G,144 min,"Reality TV, International Movies, Documentaries",A story about ambition set in United States.
s137,Movie,Broken Horizon,Sofia Alvarez,"Yusuf Patel, Raj Silva, Liam Kowalski, Sara Rossi, Grace Patel",Mexico,"March 2, 2020",2015,TV-PG,163 min,"Thrillers, Documentaries",A story about friendship set in Mexico.
s138,Movie,Rising Journey,Hugo Fischer,"Sara Brown, Maria Brown",Brazil,"January 27, 2015",2001,TV-Y,87 min,"Romantic Movies, Comedies, Sports Movies",A story about survival set in Brazil.
